index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,Age_Upon_Intake(days),Age_Upon_Intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter
63075,A862742,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown Brindle/White,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
110685,A862743,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Chocolate/White,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
79386,A862744,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,White/Black,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
28772,A862745,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black/White,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
78048,A862746,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,White/Brown,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
50647,A862747,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Black,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Male,39 days 11:14:47.648944,39
42623,A862763,2022-07-30 15:54:00,Jul-22,6701 Galindo Street in Austin (TX),Owner Surrender,Injured,Dog,Neutered Male,1 year,Siberian Husky,Brown/White,365,1,"(-0.001, 2.5]",7,2022,Saturday,15,1,1,Purebreed,N,Male,39 days 08:40:47.648944,39
91256,A862748,2022-07-30 13:20:00,Jul-22,183 And Fm 812 in Travis (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,White/Black,62,0.17,"(-0.001, 2.5]",7,2022,Saturday,13,1,1,Mix,N,Female,39 days 11:14:47.648944,39
39311,A862821,2022-08-01 09:34:00,Aug-22,Ramirez Lane And Edwin Lane in Travis (TX),Abandoned,Normal,Dog,Intact Male,2 years,Mastiff,Brown Brindle/White,730,2,"(-0.001, 2.5]",8,2022,Monday,9,1,1,Purebreed,N,Male,37 days 15:00:47.648944,37
7225,A862849,2022-08-01 13:05:00,Aug-22,7324 Dungarees Way in Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Blue Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Monday,13,1,1,Purebreed,N,Male,37 days 11:29:47.648944,37
135541,A862850,2022-08-01 13:05:00,Aug-22,7324 Dungarees Way in Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Monday,13,1,1,Purebreed,N,Female,37 days 11:29:47.648944,37
121853,A862924,2022-08-02 12:56:00,Aug-22,9108 Fm 973 S in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Anatol Shepherd,Tan/Black,730,2,"(-0.001, 2.5]",8,2022,Tuesday,12,1,1,Purebreed,N,Male,36 days 11:38:47.648944,36
100477,A862846,2022-08-01 13:05:00,Aug-22,7324 Dungarees Way in Travis (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Blue,31,0.08,"(-0.001, 2.5]",8,2022,Monday,13,1,1,Purebreed,N,Male,37 days 11:29:47.648944,37
138329,A862925,2022-08-02 12:41:00,Aug-22,5201 Teri Road in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue/White,365,1,"(-0.001, 2.5]",8,2022,Tuesday,12,1,1,Mix,N,Female,36 days 11:53:47.648944,36
35210,A862851,2022-08-01 13:05:00,Aug-22,7324 Dungarees Way in Travis (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby,31,0.08,"(-0.001, 2.5]",8,2022,Monday,13,1,1,Purebreed,N,Female,37 days 11:29:47.648944,37
99829,A862857,2022-08-01 13:39:00,Aug-22,Dessau Road in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Black Mouth Cur Mix,Brown/Black,155,0.42,"(-0.001, 2.5]",8,2022,Monday,13,1,1,Mix,N,Female,37 days 10:55:47.648944,37
142030,A862992,2022-08-03 11:16:00,Aug-22,5543 Kleberg Trail in Austin (TX),Stray,Normal,Other,Intact Female,1 year,English Spot Mix,White/Black,365,1,"(-0.001, 2.5]",8,2022,Wednesday,11,1,1,Mix,N,Female,35 days 13:18:47.648944,35
142044,A862871,2022-08-01 16:07:00,Aug-22,Brown Cemetary And Blake Manor Road in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Black,186,0.51,"(-0.001, 2.5]",8,2022,Monday,16,1,1,Mix,N,Male,37 days 08:27:47.648944,37
284,A862994,2022-08-03 11:40:00,Aug-22,Hunter Chase And Parmer in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,American Pit Bull Terrier,Chocolate/White,730,2,"(-0.001, 2.5]",8,2022,Wednesday,11,1,1,Purebreed,Y,Male,35 days 12:54:47.648944,35
53129,A862990,2022-08-02 18:58:00,Aug-22,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Boxer Mix,Red,1095,3,"(2.5, 5.0]",8,2022,Tuesday,18,1,1,Mix,N,Male,36 days 05:36:47.648944,36
72091,A862875,2022-08-01 16:07:00,Aug-22,Brown Cemetary And Blake Manor Road in Travis (TX),Stray,Normal,Dog,Intact Male,6 months,Labrador Retriever Mix,Tan/White,186,0.51,"(-0.001, 2.5]",8,2022,Monday,16,1,1,Mix,N,Male,37 days 08:27:47.648944,37
71452,A862891,2022-08-01 18:43:00,Aug-22,Hwy 45 in Austin (TX),Stray,Normal,Dog,Neutered Male,7 months,Labrador Retriever,Tan/White,217,0.59,"(-0.001, 2.5]",8,2022,Monday,18,1,1,Purebreed,N,Male,37 days 05:51:47.648944,37
59102,A863022,2022-08-03 14:18:00,Aug-22,5801 Ann Jene Court in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Australian Cattle Dog/Australian Shepherd,Cream,730,2,"(-0.001, 2.5]",8,2022,Wednesday,14,1,1,Purebreed,N,Male,35 days 10:16:47.648944,35
45111,A863025,2022-08-03 14:17:00,Aug-22,Gregg Manor Road And Fuchs Grove Road in Travis (TX),Stray,Normal,Dog,Intact Male,4 years,Belgian Malinois Mix,Brown/Black,1460,4,"(2.5, 5.0]",8,2022,Wednesday,14,1,1,Mix,N,Male,35 days 10:17:47.648944,35
87572,A863062,2022-08-04 12:15:00,Aug-22,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,5 years,German Shepherd,Black/Brown,1825,5,"(2.5, 5.0]",8,2022,Thursday,12,1,1,Purebreed,N,Male,34 days 12:19:47.648944,34
74339,A862910,2022-08-02 11:01:00,Aug-22,1190 Airport Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair,Tortie,31,0.08,"(-0.001, 2.5]",8,2022,Tuesday,11,1,1,Purebreed,N,Female,36 days 13:33:47.648944,36
44698,A863030,2022-08-03 15:22:00,Aug-22,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Brown/Tricolor,365,1,"(-0.001, 2.5]",8,2022,Wednesday,15,1,1,Mix,N,Male,35 days 09:12:47.648944,35
26316,A862911,2022-08-02 11:15:00,Aug-22,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black,3650,10,"(7.5, 10.0]",8,2022,Tuesday,11,1,1,Mix,N,Male,36 days 13:19:47.648944,36
