Index_ID,Animal_ID,Street Number,Street Name,City,St,Zip,,,,,,,
58838,728232,12307,Wright Rd  ,Austin,TX,,,,,,,,
13547,718484,12607,Wright Rd  ,Austin,TX,,,,,,,,
63758,831960,13024,Wright Rd  ,Austin,TX,,,,,,,,
43943,685918,13204,Wright Rd  ,Austin,TX,,,,,,,,
107231,813487,13207,Wright Rd  ,Austin,TX,,,,,,,,
22443,711117,13304,Wright Rd  ,Austin,TX,,,,,,,,
125040,698732,2009,Wright /Bluebonnet  ,Austin,TX,,,,,,,,
4449,690150,2009,Wridge Dr/Wilke  ,Austin,TX,,,,,,,,
54956,770803,1808,Wridge Dr  ,Austin,TX,,,,,,,,
26,298074,1801,Wridge   ,Austin,TX,,,,,,,,
112533,806429,1900,Wridge   ,Austin,TX,,,,,,,,
6165,718138,1905,Wridge   ,Austin,TX,,,,,,,,
23152,812010,1907,Wride   ,Austin,TX,,,,,,,,
136774,683270,501,Woverton Dr  ,Austin,TX,,,,,,,,
123756,841530,1514,Wover Rd  ,Austin,TX,,,,,,,,
15570,709241,2600,Wover Rd  ,Austin,TX,,,,,,,,
40632,855674,2607,Wover Rd  ,Austin,TX,,,,,,,,
87844,832541,2610,Wover Rd  ,Austin,TX,,,,,,,,
35992,783199,8709,Wover Club Dr ,Austin,TX,,,,,,,,
24482,823793,2600,Wover   ,Austin,TX,,,,,,,,
118706,730477,10909,Worn Sole Dr ,Austin,TX,,,,,,,,
140565,674192,10917,Worn Sole Dr ,Austin,TX,,,,,,,,
46207,805512,76060,Wordham Dr  ,Austin,TX,,,,,,,,
80962,679126,1841,Wooton Park  ,Austin,TX,,,,,,,,
10330,684900,1729,Wooten Park Dr  104,Austin,TX,,,,,,,,
98748,674292,1825,Wooten Park Dr  ,Austin,TX,,,,,,,,
76315,770659,1820,Wooten Park Dr ,Austin,TX,,,,,,,,
7835,674000,1710,Wooten Park Dr ,Austin,TX,,,,,,,,
74403,783114,1720,Wooten Park Dr ,Austin,TX,,,,,,,,
104676,702590,1742,Wooten Park Dr ,Austin,TX,,,,,,,,
102126,800897,1800,Wooten Park Dr ,Austin,TX,,,,,,,,
36525,759202,1804,Wooten Park Dr ,Austin,TX,,,,,,,,
87471,738340,1808,Wooten Park Dr ,Austin,TX,,,,,,,,
68475,643703,1817,Wooten Park Dr ,Austin,TX,,,,,,,,
4185,675641,1820,Wooten Park Dr ,Austin,TX,,,,,,,,
91044,775257,1833,Wooten Park Dr ,Austin,TX,,,,,,,,
18842,708087,1841,Wooten Park Dr ,Austin,TX,,,,,,,,
131827,672852,1814,Wooten Park  ,Austin,TX,,,,,,,,
82589,766156,1820,Wooten Park  ,Austin,TX,,,,,,,,
2951,697397,1840,Wooten Park  ,Austin,TX,,,,,,,,
8050,696785,1841,Wooten Park  ,Austin,TX,,,,,,,,
102267,691125,1817,Wooten Dr  ,Austin,TX,,,,,,,,
30369,717038,1908,Wooten Dr  ,Austin,TX,,,,,,,,
41618,785006,2401,Wooten Dr  ,Austin,TX,,,,,,,,
