index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,age_upon_intake(days),age_upon_intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,main_breed_intake,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter,zipcode_intake,longitude_intake,latitude_intake
33138,A785294,2022-03-29 11:35:00,March 2022,Ptarmigan Drive And Braker in Austin (TX),Stray,Normal,Dog,Intact Male,3 years,Pit Bull Mix,Brown Brindle/White,1095,3,"(2.5, 5.0]",3,2022,Tuesday,11,2,2,Mix,Pit Bull,Y,Male,175 days 08:05:25.734475,175,,,
73628,A785878,2022-05-14 18:36:00,May 2022,1301 Crossing Place in Austin (TX),Stray,Normal,Dog,Neutered Male,5 years,Australian Cattle Dog/Labrador Retriever,Red Tick/White,1825,5,"(2.5, 5.0]",5,2022,Saturday,18,2,2,Purebred,Australian Cattle Dog,N,Male,129 days 01:04:25.734475,129,,,
52562,A787167,2022-08-11 12:17:00,August 2022,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Australian Shepherd Mix,Tan/White,1095,3,"(2.5, 5.0]",8,2022,Thursday,12,3,3,Mix,Australian Shepherd,N,Male,40 days 07:23:25.734475,40,,,
3397,A788916,2021-09-13 18:22:00,September 2021,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Boxer Mix,Brown Brindle/White,730,2,"(-0.001, 2.5]",9,2021,Monday,18,3,3,Mix,Boxer,N,Male,372 days 01:18:25.734475,372,,,
133048,A789320,2022-07-07 13:40:00,July 2022,Braker Lane And Parkfield in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,White/Black,1460,4,"(2.5, 5.0]",7,2022,Thursday,13,2,2,Mix,Pit Bull,Y,Male,75 days 06:00:25.734475,75,,,
31278,A783382,2021-03-05 16:30:00,March 2021,Outside Jurisdiction,Owner Surrender,Normal,Dog,Neutered Male,3 years,Pit Bull Mix,White/Black,1095,3,"(2.5, 5.0]",3,2021,Friday,16,2,2,Mix,Pit Bull,Y,Male,564 days 02:10:25.734475,564,,,
143599,A784942,2022-08-19 12:45:00,August 2022,5611 Nancy Dr in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie,1460,4,"(2.5, 5.0]",8,2022,Friday,12,2,2,Mix,Domestic Shorthair,N,Female,32 days 06:55:25.734475,32,,,
43879,A794544,2021-07-29 18:16:00,July 2021,7201 Levander Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,Yellow Brindle/White,1460,4,"(2.5, 5.0]",7,2021,Thursday,18,4,4,Mix,Pit Bull,Y,Male,418 days 01:24:25.734475,418,,,
21458,A794579,2022-08-16 10:43:00,August 2022,Austin (TX),Public Assist,Normal,Dog,Intact Male,5 years,Dachshund/Boston Terrier,Brown Brindle,1825,5,"(2.5, 5.0]",8,2022,Tuesday,10,2,2,Purebred,Dachshund,N,Male,35 days 08:57:25.734475,35,,,
49113,A797692,2020-02-05 13:50:00,February 2020,Austin (TX),Public Assist,Normal,Dog,Neutered Male,2 years,Pit Bull,Black/White,730,2,"(-0.001, 2.5]",2,2020,Wednesday,13,2,2,Purebred,Pit Bull,Y,Male,958 days 04:50:25.734475,958,,,
