index_id_intake,animal_id_intake,breed_category,breed_consolidated,breed_group,breed_contains_pitbull,color_consolidated,intake_type,intake_condition,sex_upon_intake_subtype,age_intake(days),age_intake(years),age_range_intake,intake_date,intake_month,intake_day1,intake_year,intake_numeric_weekday,intake_hour,outcome_date,outcome_month,outcome_day,outcome_year,outcome_weekday,age_outcome(days),age_upon_outcome(years),age_range_outcome,days_in_shelter,outcome,zipcode,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
12565,A573863,Purebred,toy,toy,N,Black,Stray,Normal,Female,1460,4,"(2.5, 5.0]",6/11/2014,6,11,2014,2,15,6/17/2014,6,17,2014,Tuesday,1672,4.58,"(2.5, 5.0]",5,Success,78722,5901,3896,1.51,3034,50923,2986,2915,304,1236,189,1978,859,102,197,4288,821,25,169,2,360,236
87570,A577312,Mix,pit bull,terrier,Y,Brindle,Stray,Normal,Male,2555,7,"(5.0, 7.5]",6/6/2016,6,6,2016,0,18,7/23/2016,7,23,2016,Saturday,2954,8.09,"(7.5, 10.0]",46,Success,78751,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
131751,A578135,Mix,Malinois/German Shepherd,working-herding,N,Other,Stray,Normal,Female,2190,6,"(5.0, 7.5]",7/3/2016,7,3,2016,6,16,1/18/2017,1,18,2017,Wednesday,2466,6.76,"(5.0, 7.5]",198,Success,78741,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
19956,A578341,Mix,toy,toy,N,White,Stray,Normal,Male,2190,6,"(5.0, 7.5]",11/23/2016,11,23,2016,2,14,11/28/2016,11,28,2016,Monday,2463,6.75,"(5.0, 7.5]",5,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
15625,A582491,Mix,chihuahua ,toy,N,White/Black or Brown,Stray,Normal,Male,3285,9,"(7.5, 10.0]",1/21/2019,1,21,2019,0,14,1/30/2019,1,30,2019,Wednesday,3448,9.45,"(7.5, 10.0]",8,Success,78746,26928,1197,22.49,11520,128936,13319,13609,170,3210,625,8101,3972,2097,966,23983,214,93,1788,12,309,529
110180,A583005,Mix,toy,toy,N,White,Stray,Normal,Male,3285,9,"(7.5, 10.0]",12/29/2016,12,29,2016,3,11,1/2/2017,1,2,2017,Monday,3411,9.35,"(7.5, 10.0]",4,Success,78751,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
108346,A584437,Purebred,retriever,sporting,N,Brown,Stray,Normal,Male,1825,5,"(2.5, 5.0]",1/27/2016,1,27,2016,2,11,3/30/2016,3,30,2016,Wednesday,2231,6.11,"(5.0, 7.5]",63,Success,78653,16375,156,104.97,5532,59763,8141,8234,1974,4831,778,1744,391,145,42,9143,3320,140,312,17,2782,661
110613,A586522,Mix,retriever,sporting,N,Black/White,Stray,Normal,Male,1095,3,"(2.5, 5.0]",4/19/2014,4,19,2014,5,15,5/18/2014,5,18,2014,Sunday,1391,3.81,"(2.5, 5.0]",29,Success,78702,21334,4268,5,9032,36197,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
55863,A588258,Mix,Malinois/German Shepherd,working-herding,N,Black/Other,Public Assist,Normal,Female,2555,7,"(5.0, 7.5]",9/16/2015,9,16,2015,2,15,1/2/2016,1,2,2016,Saturday,2980,8.16,"(7.5, 10.0]",107,Success,78749,34449,3421,10.07,14857,84907,16863,17586,608,7176,1572,9571,3755,725,633,27894,1129,186,2700,34,1442,1064
76742,A589374,Mix,pit bull,pit bull,N,Black/White,Owner Surrender,Normal,Male,2555,7,"(5.0, 7.5]",8/20/2017,8,20,2017,6,12,2/7/2018,2,7,2018,Wednesday,2845,7.79,"(7.5, 10.0]",170,Success,78717,22538,1751,12.87,9055,93701,11015,11523,355,4951,1524,5546,2455,295,423,16376,897,91,3803,31,609,731
79174,A590017,Mix,pit bull,terrier,Y,Tan/White,Stray,Normal,Female,2190,6,"(5.0, 7.5]",4/23/2016,4,23,2016,5,15,8/20/2016,8,20,2016,Saturday,2381,6.52,"(5.0, 7.5]",118,Success,78757,21310,4335,4.92,10898,57429,10453,10857,1359,5756,926,5220,2528,514,461,18327,675,150,480,8,1120,550
80965,A590144,Purebred,guardian,working,N,Black/Other,Stray,Normal,Female,2920,8,"(7.5, 10.0]",8/12/2014,8,12,2014,1,12,1/28/2016,1,28,2016,Thursday,3518,9.64,"(7.5, 10.0]",533,Success,78721,11425,3077,3.71,4153,33798,5572,5853,2512,3484,249,783,187,38,19,4303,3976,176,79,4,2545,342
88284,A590290,Mix,terrier,terrier,N,White/Black or Brown,Stray,Normal,Male,1095,3,"(2.5, 5.0]",8/18/2014,8,18,2014,0,10,8/27/2014,8,27,2014,Wednesday,1434,3.93,"(2.5, 5.0]",9,Success,78729,27108,2939,9.23,13284,60690,13427,13681,744,8049,1212,5694,1919,402,158,20603,1836,183,2233,25,1209,1019
33415,A591775,Purebred,chihuahua ,toy,N,White/Other,Owner Surrender,Normal,Male,1825,5,"(2.5, 5.0]",11/14/2014,11,14,2014,4,17,12/27/2014,12,27,2014,Saturday,2176,5.96,"(5.0, 7.5]",43,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
48952,A591903,Mix,terrier,terrier,N,Tan/Tan Mix,Stray,Normal,Male,1825,5,"(2.5, 5.0]",1/18/2016,1,18,2016,0,13,1/27/2016,1,27,2016,Wednesday,2099,5.75,"(5.0, 7.5]",8,Success,78741,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
32766,A593868,Purebred,pit bull,Pit bull terrier,N,Brindle,Owner Surrender,Normal,Male,3285,9,"(7.5, 10.0]",12/8/2016,12,8,2016,3,14,1/31/2017,1,31,2017,Tuesday,3635,9.96,"(7.5, 10.0]",54,Success,78753,49301,4495,10.97,19630,38884,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
84374,A595363,Purebred,hound,hound,N,Brown,Stray,Normal,Female,1825,5,"(2.5, 5.0]",10/26/2015,10,26,2015,0,16,10/31/2015,10,31,2015,Saturday,1926,5.28,"(5.0, 7.5]",5,Success,78747,14808,623,23.78,5491,61599,7345,7463,1556,5071,584,2354,406,133,118,9664,1052,183,351,12,2998,548
16317,A596658,Purebred,working,working,Y,White/Black or Brown,Owner Surrender,Normal,Female,1095,3,"(2.5, 5.0]",7/13/2017,7,13,2017,3,9,2/12/2018,2,12,2018,Monday,1310,3.59,"(2.5, 5.0]",214,Success,78748,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
