zipcode,median_household_income,animal_id_intake,Cats,Dogs,Adoption,Euthanasia/Died,Return to Owner,Shelter,Transfer,Success Rate,Return to Owner,Adopted,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
78701,86541,195,90,105,80,11,42,0,62,0.626,0.215,0.410,Austin,Travis County,TX,19690,3529,5.58,10425,9744,9946,109,1932,223,6595,3315,2016,611,17479,259,72,1167,7,307,399
78734,87300,163,75,88,64,10,32,0,57,0.589,0.196,0.393,Austin,Travis County,TX,21334,4268,5,9032,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
78681,92453,22,8,14,11,2,6,0,3,0.773,0.273,0.500,Austin,Travis County,TX,6841,4193,1.63,5036,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
78717,93701,117,47,70,47,8,17,1,44,0.547,0.145,0.402,Round Rock,Williamson County,TX,50606,2329,21.73,17971,25057,25549,2035,12750,2573,10708,4191,557,463,39567,2616,308,3911,58,2682,1464
78738,118795,47,24,23,14,5,7,0,21,0.447,0.149,0.298,Pflugerville,Travis County,TX,68789,1519,45.3,23950,33565,35224,4517,20539,4886,11731,4151,282,402,42256,10731,452,5723,85,6942,2600
78730,120568,50,20,30,17,1,13,0,19,0.600,0.260,0.340,Manor,Travis County,TX,16375,156,104.97,5532,8141,8234,1974,4831,778,1744,391,145,42,9143,3320,140,312,17,2782,661
78737,121094,83,35,48,34,2,21,0,26,0.663,0.253,0.410,Leander,Travis County,TX,9773,310,31.57,5698,5010,4763,368,3985,835,2001,679,82,33,8971,98,54,88,4,371,187
78733,122860,51,30,21,20,5,10,0,16,0.588,0.196,0.392,Leander,Williamson County,TX,44295,350,126.47,15749,22045,22250,3039,14877,2870,7161,2025,211,211,36682,1754,303,874,37,3061,1584
78739,128597,82,26,56,37,0,15,0,30,0.634,0.183,0.451,Elgin,Bastrop County,TX,21659,116,187,7955,10779,10880,2963,8085,1005,1416,598,76,85,14369,2455,206,128,23,3769,709
78746,128936,165,76,89,72,6,25,3,59,0.588,0.152,0.436,Buda,Hays County,TX,23502,254,92.38,8184,11704,11798,2040,7807,1182,3801,1211,97,155,18672,728,170,234,15,3026,657
78732,131216,67,36,31,23,4,16,0,24,0.582,0.239,0.343,Bastrop,Bastrop County,TX,25160,130,193.6,9845,13344,11816,2940,10150,1564,2237,808,206,77,19103,2409,231,206,23,2427,761
